date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:31:43	295/295	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2017:01:43%20GMT	http://localhost/robots.txt		(from )
22:31:50	146630/146630	---MC-	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202023%2017:01:43%20GMT	http://localhost/nxtech/	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/index.html	(from )
22:31:50	16534/16534	---M--	200	added ('OK')	text/css	etag:%224096-609a14940067f%22	http://localhost/nxtech/wp-includes/blocks/navigation/style.min.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/navigation/style.minaec2.css	(from http://localhost/nxtech/)
22:31:51	10241/10241	---M--	200	added ('OK')	text/css	etag:%222801-609a14943d675%22	http://localhost/nxtech/wp-includes/blocks/social-links/style.min.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/social-links/style.minaec2.css	(from http://localhost/nxtech/)
22:31:51	6979/6979	---M--	200	added ('OK')	text/css	etag:%221b43-609a1493f5aba%22	http://localhost/nxtech/wp-includes/blocks/image/style.min.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/image/style.minaec2.css	(from http://localhost/nxtech/)
22:31:52	18375/18375	---M--	200	added ('OK')	text/css	etag:%2247c7-609a1493e16b5%22	http://localhost/nxtech/wp-includes/blocks/cover/style.min.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/cover/style.minaec2.css	(from http://localhost/nxtech/)
22:31:52	14105/14105	---M--	200	added ('OK')	text/css	etag:%223719-5ff1d39002ac0%22	http://localhost/nxtech/wp-includes/blocks/gallery/style.min.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/gallery/style.minaec2.css	(from http://localhost/nxtech/)
22:31:53	12304/12304	---M--	200	added ('OK')	text/css	etag:%223010-60a193716281c%22	http://localhost/nxtech/wp-content/themes/fotawp/assets/css/blocks.css?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/themes/fotawp/assets/css/blocksaec2.css	(from http://localhost/nxtech/)
22:31:53	2894/2894	---M--	200	added ('OK')	text/css	etag:%22b4e-60a84cbe5eaef%22	http://localhost/nxtech/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.3	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/plugins/contact-form-7/includes/css/stylesc8d8.css	(from http://localhost/nxtech/)
22:31:53	9299/9299	---M--	200	added ('OK')	text/css	etag:%222453-60a19371a03c2%22	http://localhost/nxtech/wp-content/themes/fotawp/style.css?ver=1.2.8	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/themes/fotawp/style1efe.css	(from http://localhost/nxtech/)
22:31:54	1641/1641	---M--	200	added ('OK')	application/rss+xml	etag:%22ed6d8de5da729373603e6e34e7b49cdb%22	http://localhost/nxtech/comments/feed/	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/comments/feed/index.html	(from http://localhost/nxtech/)
22:31:54	3586/3586	---M--	200	added ('OK')	application/javascript	etag:%22e02-609a149401a04%22	http://localhost/nxtech/wp-includes/blocks/navigation/view.min.js?ver=e3d6f3216904b5b42831	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/blocks/navigation/view.minff1e.js	(from http://localhost/nxtech/)
22:31:54	8592/8592	---MC-	200	added ('OK')	application/rss+xml	etag:%22ed6d8de5da729373603e6e34e7b49cdb%22	http://localhost/nxtech/feed/	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/feed/index.html	(from http://localhost/nxtech/)
22:31:56	804/804	---M--	200	added ('OK')	text/xml	date:Mon,%2020%20Nov%202023%2017:01:55%20GMT	http://localhost/nxtech/xmlrpc.php?rsd	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/xmlrpc0db0.php	(from http://localhost/nxtech/)
22:31:56	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%223509-5fdabee5f2100%22	http://localhost/nxtech/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/nxtech/)
22:31:57	32281/32281	---M--	200	added ('OK')	application/javascript	etag:%227e19-609a1496984da%22	http://localhost/nxtech/wp-includes/js/dist/interactivity.min.js?ver=6.4.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/js/dist/interactivity.minaec2.js	(from http://localhost/nxtech/)
22:32:02	27800/27800	---M--	200	added ('OK')	font/woff2	etag:%226c98-60a193716d3dc%22	http://localhost/nxtech/wp-content/themes/fotawp/assets/fonts/lato/Lato-Light.woff2	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/themes/fotawp/assets/fonts/lato/Lato-Light.woff2	(from http://localhost/nxtech/)
22:32:07	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-609a1498219db%22	http://localhost/nxtech/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/nxtech/)
22:32:07	28456/28456	---M--	200	added ('OK')	font/woff2	etag:%226f28-60a193716d7c2%22	http://localhost/nxtech/wp-content/themes/fotawp/assets/fonts/lato/Lato-Regular.woff2	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/themes/fotawp/assets/fonts/lato/Lato-Regular.woff2	(from http://localhost/nxtech/)
22:32:11	94268/94268	---M--	200	added ('OK')	font/ttf	etag:%221703c-60a193716e379%22	http://localhost/nxtech/wp-content/themes/fotawp/assets/fonts/league_spartan/LeagueSpartan-VariableFont_wght.ttf	F:/Wordpress/nxtechproject/nxtechproject/localhost/nxtech/wp-content/themes/fotawp/assets/fonts/league_spartan/LeagueSpartan-VariableFont_wght.ttf	(from http://localhost/nxtech/)
